entry_idx,entry_date,entry_price,direction,exit_idx,exit_date,exit_price,return_pct,pnl,probability,predicted_class,commission,forced_exit
471,2025-08-19,31.222,short,476,2025-08-24,33.578,-7.5459611812183764,-9.545961181218377,0.65817213,0,2,
473,2025-08-21,33.169999999999995,short,478,2025-08-26,33.465,-0.8893578534820888,-2.889357853482089,0.55848455,0,2,
476,2025-08-24,33.568,short,481,2025-08-29,31.627,5.782292659675879,3.7822926596758792,0.5873102,0,2,
478,2025-08-26,33.455,short,483,2025-08-31,31.627,5.464056194888655,3.464056194888655,0.5664226,0,2,
481,2025-08-29,31.617,short,486,2025-09-03,32.117000000000004,-1.5814277129392527,-3.5814277129392527,0.6987484,0,2,
483,2025-08-31,31.617,short,488,2025-09-05,31.974,-1.1291393870386162,-3.129139387038616,0.7856159,0,2,
486,2025-09-03,32.107,short,491,2025-09-08,33.069,-2.9962313514187042,-4.996231351418704,0.8740414,0,2,
488,2025-09-05,31.964000000000002,short,493,2025-09-10,33.127,-3.638468276811414,-5.638468276811414,0.80835855,0,2,
491,2025-09-08,33.059,short,496,2025-09-13,32.667,1.1857587948818655,-0.8142412051181345,0.8030669,0,2,
493,2025-09-10,33.117,short,498,2025-09-15,32.159000000000006,2.892774103934509,0.8927741039345092,0.8998646,0,2,
496,2025-09-13,32.657,short,501,2025-09-18,32.957,-0.9186391891478222,-2.918639189147822,0.90515584,0,2,
498,2025-09-15,32.149,short,503,2025-09-20,32.313,-0.5101247317179429,-2.510124731717943,0.88136035,0,2,
501,2025-09-18,32.946999999999996,short,506,2025-09-23,32.27,2.054815309436345,0.05481530943634505,0.59660953,0,2,
503,2025-09-20,32.303,short,508,2025-09-25,32.461000000000006,-0.4891186577098362,-2.4891186577098363,0.7399189,0,2,
506,2025-09-23,32.26,short,511,2025-09-28,32.702000000000005,-1.3701177929324466,-3.3701177929324464,0.7566336,0,2,
508,2025-09-25,32.451,short,513,2025-09-30,31.416,3.1894240547286685,1.1894240547286685,0.75285333,0,2,
511,2025-09-28,32.692,short,516,2025-10-03,31.442999999999998,3.820506545943969,1.820506545943969,0.8711449,0,2,
513,2025-09-30,31.406000000000002,short,518,2025-10-05,31.442999999999998,-0.11781188307965192,-2.1178118830796517,0.7931655,0,2,
516,2025-10-03,31.433,short,521,2025-10-08,32.705000000000005,-4.046702510100867,-6.046702510100867,0.8098717,0,2,
518,2025-10-05,31.433,short,523,2025-10-10,32.175000000000004,-2.3605764642255096,-4.36057646422551,0.8098717,0,2,
521,2025-10-08,32.695,short,526,2025-10-13,31.48,3.7161645511546104,1.7161645511546104,0.8793246,0,2,
523,2025-10-10,32.165,short,528,2025-10-15,31.831,1.0383957718016468,-0.9616042281983532,0.7636291,0,2,
